2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:47		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:48		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:49		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
2020-01-30/21:22:50		 wafer_21012020_080913.csv: File loaded successfully!!
